RBD;HH_A;HH_UTP;HH_PDIR;HH_DIR;HH_OES;HH_OF;HH_JUTP;HH_IG;HH_OR;HH_DIR_SOST;HH_TP_SOST;HH_SUP_SOST;HH_SUBDIR;HH_PROF_ENC;HH_EDUC_TRAD;HH_TOT
49;60;0;0;44;0;0;0;0;0;0;0;0;0;0;0;104
50;1080;0;0;44;364;0;88;44;44;0;0;0;0;0;0;1664
51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;5419;220;0;44;167;8;88;88;103;0;0;0;0;0;0;6137
55;294;0;0;44;0;0;0;0;0;0;0;0;0;0;0;338
56;1447;0;0;44;197;0;44;44;82;0;0;0;0;0;0;1858
57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;120;0;0;35;0;0;0;0;0;0;0;0;0;0;0;155
59;1344;0;44;44;165;0;44;0;0;0;0;0;0;0;0;1641
60;1408;38;0;44;118;0;88;44;44;0;44;0;44;0;0;1872
65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;30
67;866;40;0;44;0;0;0;0;0;0;0;0;0;0;0;950
69;1560;44;0;22;0;0;0;88;54;0;0;44;0;0;0;1812
70;7;0;0;0;0;0;0;0;0;0;0;0;0;44;0;51
72;278;0;0;44;0;0;44;0;0;0;0;0;0;0;0;366
73;5;0;0;0;0;0;0;0;0;0;0;0;0;44;0;49
74;7;0;0;0;0;0;0;0;0;0;0;0;0;44;0;51
75;5;0;0;0;0;0;0;0;0;0;0;0;0;44;0;49
76;12;0;0;0;0;0;0;0;0;0;0;0;0;44;0;56
78;894;0;0;44;0;0;0;44;0;0;0;0;0;0;0;982
79;86;0;0;0;0;0;0;0;0;0;0;0;0;44;0;130
81;3;0;0;0;0;0;0;0;0;0;0;0;0;44;0;47
82;3;0;0;0;0;0;0;0;0;0;0;0;0;44;0;47
83;3;0;0;0;0;0;0;0;0;0;0;0;0;44;0;47
84;47;0;0;0;0;0;0;0;0;0;0;0;0;44;0;91
86;3;0;0;0;0;0;0;0;0;0;0;0;0;44;0;47
87;2;0;0;0;0;0;0;0;0;0;0;0;0;44;0;46
88;2;0;0;0;0;0;0;0;0;0;0;0;0;44;0;46
89;2;0;0;0;0;0;0;0;0;0;0;0;0;44;0;46
90;148;0;0;0;0;0;0;0;0;0;0;0;0;44;0;192
91;2;0;0;0;0;0;0;0;0;0;0;0;0;44;0;46
92;2;0;0;0;0;0;0;0;0;0;0;0;0;44;0;46
93;2;0;0;0;0;0;0;0;0;0;0;0;0;44;0;46
94;2;0;0;0;0;0;0;0;0;0;0;0;0;44;0;46
95;2;0;0;0;0;0;0;0;0;0;0;0;0;44;0;46
97;883;130;0;44;44;0;44;132;44;0;0;0;0;0;0;1321
98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;750;0;0;44;44;0;0;44;0;0;0;0;0;0;0;882
103;1323;88;0;44;162;44;44;44;0;0;0;0;0;0;0;1749
105;278;88;0;44;0;0;0;0;0;0;0;0;0;0;0;410
106;677;0;0;44;0;0;88;44;44;0;0;0;0;0;0;897
107;1337;0;0;44;30;0;0;44;88;0;44;0;0;0;0;1587
108;1396;0;44;44;178;0;88;44;0;0;0;0;0;0;0;1794
109;787;44;44;44;44;0;44;0;44;0;0;0;0;0;0;1051
110;1752;0;88;44;236;0;44;132;0;0;0;0;0;0;0;2296
111;1345;44;0;44;42;88;0;88;0;0;0;0;0;0;0;1651
112;994;0;0;44;144;0;44;44;44;0;44;0;0;0;0;1358
113;1861;0;0;44;88;0;44;88;44;0;0;0;0;0;0;2169
114;1188;44;0;44;0;0;44;0;0;0;0;0;0;0;0;1320
115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116;1324;88;0;44;118;44;0;44;44;0;0;0;0;0;0;1706
117;1214;0;0;44;67;0;44;44;44;0;0;0;0;0;0;1457
119;901;0;0;44;205;0;44;88;44;0;44;0;0;0;0;1370
120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;659;0;0;44;74;0;44;44;44;0;0;0;0;0;0;909
123;1147;0;0;44;0;0;44;44;44;0;0;0;0;0;0;1323
124;2409;44;0;44;132;0;44;132;44;0;0;0;0;0;0;2849
125;2345;0;0;44;85;0;88;132;44;0;0;0;0;0;0;2738
126;1236;0;88;44;289;0;44;0;44;0;0;0;0;0;0;1745
127;1179;82;44;44;95;0;44;0;44;0;40;0;0;0;0;1572
128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129;358;0;44;44;44;0;21;44;0;0;0;0;0;0;0;555
130;580;0;20;44;0;0;30;30;30;0;0;0;0;0;0;734
131;556;40;0;44;0;0;0;40;0;0;0;0;0;0;0;680
132;2999;0;0;44;0;0;88;44;0;0;0;0;44;0;0;3219
133;1506;44;0;44;132;0;44;44;88;0;0;0;0;0;0;1902
134;680;0;44;44;105;0;44;0;0;0;0;0;0;0;0;917
136;220;0;0;44;0;0;0;0;0;0;0;0;0;0;0;264
138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139;150;0;0;40;0;0;0;0;0;0;0;0;0;0;0;190
143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
144;490;0;0;30;0;0;44;38;0;0;0;0;0;0;0;602
145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;166;0;0;0;0;0;0;0;0;0;0;0;0;44;0;210
156;211;0;0;0;0;0;0;0;0;0;0;0;0;44;0;255
158;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;44
159;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;44
160;197;0;0;0;0;0;0;0;0;0;0;0;0;44;0;241
161;1094;44;88;44;44;0;88;0;44;0;44;0;0;0;0;1490
162;174;0;0;44;0;0;0;0;0;0;0;0;0;0;0;218
165;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;44
167;238;0;0;44;0;0;0;0;0;0;0;0;0;0;0;282
168;8;0;0;0;0;0;0;0;0;0;0;0;0;44;0;52
169;4;0;0;0;0;0;0;0;0;0;0;0;0;44;0;48
170;6;0;0;0;0;0;0;0;0;0;0;0;0;44;0;50
171;6;0;0;0;0;0;0;0;0;0;0;0;0;44;0;50
172;4;0;0;0;0;0;0;0;0;0;0;0;0;44;0;48
173;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;44
174;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;44
175;4;0;0;44;0;0;0;0;0;0;0;0;0;0;0;48
177;120;0;0;0;10;0;0;0;0;0;0;0;0;44;0;174
178;841;44;0;44;68;0;0;44;0;0;0;0;0;0;0;1041
179;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;44
184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
185;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;44
186;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;44
187;579;0;0;44;75;0;44;44;44;0;0;0;0;0;0;830
188;497;0;0;44;88;0;44;44;0;0;0;0;0;0;0;717
191;1790;88;0;44;88;0;132;44;0;0;0;0;0;0;0;2186
192;330;0;0;0;0;0;0;0;0;0;44;0;0;44;0;418
193;1185;0;0;44;176;0;88;44;0;0;0;0;0;0;0;1537
195;592;0;0;0;88;0;44;44;0;0;0;0;0;44;0;812
196;10;0;0;0;8;0;0;0;0;0;0;0;0;44;0;62
198;288;0;0;0;0;0;44;0;0;0;0;0;0;44;44;420
199;1380;44;44;44;118;0;44;44;44;0;44;0;0;0;0;1806
200;1502;44;44;44;88;0;0;0;44;0;0;0;44;0;0;1810
201;1040;0;0;44;220;44;44;0;44;0;0;0;44;0;0;1480
203;1293;0;0;44;0;0;44;0;44;0;0;0;44;0;0;1469
204;1267;88;44;44;44;0;0;0;44;0;0;44;0;0;0;1575
