RBD;Nombre Establecimiento;Región;Comuna;Dependencia;Matrícula Media 2017;Categoría Desempeño 2018
15820;COLEGIO SAN MIGUEL DE REMA;de O’Higgins;SAN VICENTE;P. Subvencionado;462;MEDIO
15828;COLEGIO SAN NICOLAS DE BARI;de O’Higgins;RANCAGUA;P. Subvencionado;239;SIN CATEGORIA: FALTA DE INFORMACIÓN
15832;COLEGIO BOSQUES DE CHILE;de O’Higgins;SAN VICENTE;P. Subvencionado;177;MEDIO
15855;COLEGIO SEBASTIAN'S COLLEGE;de O’Higgins;GRANEROS;P. Subvencionado;274;MEDIO
15857;COLEGIO UMBRALES;de O’Higgins;CHIMBARONGO;P. Subvencionado;74;SIN CATEGORIA: BAJA MATRICULA
15859;COLEGIO PARTICULAR SUBVENCIONADO NANCAGUA SCHOOL;de O’Higgins;NANCAGUA;P. Subvencionado;151;MEDIO-BAJO (NUEVO)
16410;COLEGIO ABATE MOLINA;del Maule;LONGAVI;P. Subvencionado;614;MEDIO
16415;COLEGIO RAUQUEN;del Maule;CURICO;P. Subvencionado;869;ALTO
16427;COLEGIO ESMERALDA;del Maule;TALCA;P. Subvencionado;411;ALTO
16428;ESC. MONSENOR MANUEL LARRAIN ERRAZURIZ;del Maule;HUALANE;Municipal;518;MEDIO
16431;COLEGIO  ORCHARD COLLEGE;del Maule;CURICO;P. Pagado;221;ALTO
16441;LICEO SANTA MARTA;del Maule;TALCA;P. Subvencionado;709;ALTO
16444;COLEGIO EDUARDO MARTIN ABEJON;del Maule;CONSTITUCION;P. Subvencionado;598;ALTO
16446;COLEGIO JUAN PIAMARTA;del Maule;TALCA;P. Subvencionado;606;MEDIO
16448;INSTITUTO SANTA MARTA;del Maule;CURICO;P. Subvencionado;695;ALTO
16449;COLEGIO SANTA FE;del Maule;CURICO;P. Subvencionado;174;SIN CATEGORIA: FALTA DE INFORMACIÓN
16453;COLEGIO ALBORADA;del Maule;LINARES;P. Pagado;255;ALTO
16456;ESCUELA PARTICULAR VILLA BAVIERA;del Maule;PARRAL;P. Subvencionado;106;ALTO
16459;INSTITUTO EDUCACIONAL DE LA MADERA;del Maule;CONSTITUCION;P. Subvencionado;282;ALTO
16460;ESCUELA PADRE ALBERTO HURTADO;del Maule;CURICO;Municipal;539;MEDIO
16461;COLEGIO LYON´S SCHOOL;del Maule;TALCA;P. Subvencionado;147;INSUFICIENTE
16468;ESCUELA BASICA DE COLBUN;del Maule;COLBUN;Municipal;732;MEDIO-BAJO
16469;COLEGIO PABLO NERUDA;del Maule;PARRAL;Municipal;608;MEDIO
16470;COLEGIO CONCEPCION TALCA;del Maule;TALCA;P. Pagado;538;ALTO
16476;COLEGIO BOSQUES DE GAIA;del Maule;CONSTITUCION;P. Subvencionado;225;MEDIO
16477;COLEGIO AQUELARRE;del Maule;TENO;P. Subvencionado;260;ALTO
16484;COLEGIO MANSO DE VELASCO;del Maule;CAUQUENES;P. Subvencionado;266;MEDIO
16485;COLEGIO GARDEN COLLEGE;del Maule;CAUQUENES;P. Subvencionado;390;ALTO
16488;COLEGIO ADVENTISTA MARANATA;del Maule;TALCA;P. Subvencionado;343;MEDIO
16489;COLEGIO BALTAZAR;del Maule;TALCA;P. Subvencionado;222;MEDIO-BAJO
16491;COLEGIO ALBERT EINSTEIN;del Maule;CURICO;P. Subvencionado;192;MEDIO
16492;INSTITUTO VALENTIN LETELIER;del Maule;LINARES;P. Subvencionado;166;MEDIO
16494;COLEGIO CRISTIANO DE CURICO;del Maule;CURICO;P. Subvencionado;262;MEDIO
16497;COLEGIO ANDES DE TALCA;del Maule;TALCA;P. Subvencionado;389;ALTO
16502;COLEGIO CORDILLERA;del Maule;MOLINA;P. Subvencionado;236;ALTO
16506;ESCUELA CHACARILLAS;del Maule;CONSTITUCION;Municipal;226;MEDIO-BAJO
16507;JUAN SALVADOR COLLEGE;del Maule;SAN JAVIER;P. Subvencionado;248;ALTO
16508;COLEGIO HISPANOCHILENO EL PILAR;del Maule;CURICO;P. Subvencionado;565;MEDIO
16509;COLEGIO CENTRO EDUCACIONAL VYGOTSKY;del Maule;CURICO;P. Subvencionado;271;ALTO
16510;ESCUELA ENRIQUE WEISS;del Maule;LINARES;P. Subvencionado;46;SIN CATEGORIA: BAJA MATRICULA
16512;COLEGIO DIEGO THOMPSON;del Maule;CURICO;P. Subvencionado;344;ALTO
16513;CENTRO EDUCACIONAL ADONAY;del Maule;CURICO;P. Subvencionado;166;MEDIO
16518;COLEGIO PARTICULAR SEBASTIAN;del Maule;LINARES;P. Subvencionado;162;MEDIO-BAJO
16520;COLEGIO KAIROS;del Maule;CURICO;P. Subvencionado;269;MEDIO
16526;COLEGIO LOS ALERCES;del Maule;TALCA;P. Subvencionado;523;ALTO
16535;COLEGIO SAN MARCOS;del Maule;CURICO;P. Subvencionado;607;ALTO
16541;CENTRO  EDUCATIVO  PEUMAYEN;del Maule;CURICO;P. Subvencionado;279;MEDIO
16549;COLEGIO PALENCIA SC.;del Maule;CURICO;P. Subvencionado;237;MEDIO
16550;COLEGIO SAN JORGE;del Maule;TALCA;P. Subvencionado;385;MEDIO
16556;COLEGIO CORDILLERA;del Maule;LINARES;P. Subvencionado;271;ALTO
16564;LICEO TECNICO PROFESIONAL SIMON BOLIVAR;del Maule;CURICO;P. Subvencionado;322;ALTO
16569;COLEGIO LOS HEROES;del Maule;CURICO;P. Subvencionado;258;MEDIO
16570;ESCUELA DE LENGUAJE RAYENCO;del Maule;ROMERAL;P. Subvencionado;373;ALTO
16580;ESC. PASO INTERNACIONAL PEHUENCHE;del Maule;SAN CLEMENTE;Municipal;605;ALTO
16588;COLEGIO SAN ALFONSO DE EL BOLDO;del Maule;CURICO;P. Subvencionado;303;MEDIO
16589;COLEGIO EL QUILLAY;del Maule;CURICO;P. Subvencionado;278;ALTO
16600;COLEGIO ALTA CUMBRE;del Maule;CURICO;P. Subvencionado;705;ALTO
16608;COLEGIO ANTILHUE;del Maule;MOLINA;P. Subvencionado;271;MEDIO-BAJO
16624;COLEGIO  ANTARES;del Maule;PELARCO;P. Subvencionado;115;MEDIO
16625;COLEGIO PABLO DE ROKHA;del Maule;SAN JAVIER;P. Subvencionado;198;ALTO
16627;COLEGIO SAN IGNACIO DE TALCA;del Maule;TALCA;P. Subvencionado;674;ALTO
16644;COLEGIO LEONARDO DA VINCI;del Maule;SAN JAVIER;P. Subvencionado;659;MEDIO
16652;CENTRO EDUCATIVO MACHU PICCHU;del Maule;CURICO;P. Subvencionado;215;ALTO
16673;ESCUELA ESPECIAL DE LENGUAJE CLUB DE LEONES D;del Maule;TALCA;P. Subvencionado;223;INSUFICIENTE
16676;LICEO COMPLEJO EDUCACIONAL JAVIERA CARRERA;del Maule;TALCA;Municipal;613;MEDIO-BAJO
16677;COLEGIO IRIS RETAMAL;del Maule;RETIRO;P. Subvencionado;359;MEDIO
16685;COLEGIO HENRI CETTY;del Maule;MOLINA;P. Subvencionado;313;MEDIO-BAJO
16690;COLEGIO SUYAI;del Maule;MAULE;P. Subvencionado;272;MEDIO
16695;ESCUELA BASICA DE ADMINISTRACION Y COMERCIO;del Maule;CURICO;P. Subvencionado;253;ALTO
16704;COLEGIO CLEMENTINOS;del Maule;SAN CLEMENTE;P. Subvencionado;533;MEDIO
16708;COLEGIO PARTICULAR JOSEFINA MEDEL;del Maule;LINARES;P. Subvencionado;71;MEDIO
16713;COLEGIO SAN PABLO;del Maule;CURICO;P. Subvencionado;98;INSUFICIENTE
16715;COLEGIO EL BOLDO;del Maule;CURICO;Municipal;554;ALTO
16717;COLEGIO SANTA MADRE DE DIOS;del Maule;SAN RAFAEL;P. Subvencionado;220;MEDIO
16728;COLEGIO SANTO TOMAS DE TALCA;del Maule;MAULE;P. Subvencionado;562;ALTO
16730;ESCUELA ADMINISTRACION Y COMERCIO HUMANISTA C;del Maule;CURICO;P. Subvencionado;354;ALTO
16732;COLEGIO ALTO PEWEN;del Maule;TALCA;P. Subvencionado;115;SIN CATEGORIA: BAJA MATRICULA
16733;COLEGIO ALTAS CUMBRES DE SAN CLEMENTE;del Maule;SAN CLEMENTE;P. Subvencionado;210;MEDIO
16744;COLEGIO SAN ESTEBAN DE TALCA;del Maule;MAULE;P. Subvencionado;375;MEDIO
16746;COLEGIO SANTA MARIA APOSTOL;del Maule;CONSTITUCION;P. Subvencionado;23;SIN CATEGORIA: BAJA MATRICULA
16747;COLEGIO RAUQUEN CAMPO;del Maule;CURICO;Municipal;58;SIN CATEGORIA: BAJA MATRICULA
16749;COLEGIO JUAN IGNACIO MOLINA DE LA FLORIDA;del Maule;TALCA;P. Subvencionado;367;MEDIO
16756;COLEGIO LOS AGUSTINOS;del Maule;MAULE;P. Subvencionado;240;MEDIO
