RBD;GRADO;CD2018
1167;Media;MEDIO-BAJO
1183;Media;MEDIO
1190;Media;ALTO
1194;Media;MEDIO-BAJO
1195;Media;MEDIO
1196;Media;MEDIO-BAJO
1198;Media;MEDIO-BAJO
1199;Media;INSUFICIENTE
1213;Media;MEDIO-BAJO
1214;Media;MEDIO
1225;Media;ALTO
1226;Media;MEDIO
1255;Media;MEDIO
1260;Media;ALTO
1261;Media;MEDIO
1262;Media;ALTO
1263;Media;MEDIO
1264;Media;SIN CATEGORIA: BAJA MATRICULA
1288;Media;ALTO
1289;Media;MEDIO-BAJO
1290;Media;ALTO
1291;Media;ALTO
1294;Media;ALTO
1300;Media;MEDIO
1301;Media;MEDIO-BAJO
1302;Media;INSUFICIENTE
1318;Media;MEDIO-BAJO
1327;Media;MEDIO
1335;Media;MEDIO
1347;Media;MEDIO-BAJO
1354;Media;MEDIO
1361;Media;MEDIO
1362;Media;MEDIO
1363;Media;INSUFICIENTE
1364;Media;MEDIO
1366;Media;MEDIO
1370;Media;SIN CATEGORIA: BAJA MATRICULA
1371;Media;MEDIO-BAJO (NUEVO)
1391;Media;MEDIO-BAJO
1392;Media;ALTO
1393;Media;ALTO
1395;Media;ALTO
1397;Media;MEDIO
1400;Media;SIN CATEGORIA: BAJA MATRICULA
1403;Media;MEDIO
1404;Media;MEDIO
1405;Media;MEDIO
1412;Media;MEDIO
1414;Media;MEDIO-BAJO
1421;Media;MEDIO-BAJO
1422;Media;MEDIO-BAJO
1425;Media;MEDIO-BAJO
1436;Media;MEDIO
1437;Media;MEDIO
1443;Media;MEDIO
1444;Media;MEDIO
1445;Media;SIN CATEGORIA: BAJA MATRICULA
1449;Media;INSUFICIENTE
1450;Media;MEDIO
1453;Media;MEDIO
1464;Media;MEDIO-BAJO
1467;Media;MEDIO-BAJO (NUEVO)
1478;Media;MEDIO
1482;Media;MEDIO
1489;Media;INSUFICIENTE
1490;Media;MEDIO-BAJO
1500;Media;MEDIO
1502;Media;MEDIO-BAJO
1503;Media;MEDIO
1504;Media;SIN CATEGORIA: FALTA DE INFORMACION
1515;Media;MEDIO
1516;Media;MEDIO-BAJO
1517;Media;MEDIO
1518;Media;INSUFICIENTE
1519;Media;INSUFICIENTE
1520;Media;ALTO
1521;Media;MEDIO-BAJO
1522;Media;SIN CATEGORIA: BAJA MATRICULA
1525;Media;MEDIO
1542;Media;MEDIO-BAJO
1549;Media;MEDIO-BAJO
1579;Media;MEDIO-BAJO
1580;Media;MEDIO
1581;Media;ALTO
1582;Media;MEDIO
1585;Media;MEDIO
1586;Media;MEDIO
1587;Media;MEDIO
1588;Media;MEDIO
1590;Media;MEDIO
1594;Media;MEDIO-BAJO
1604;Media;MEDIO
1607;Media;MEDIO-BAJO
1610;Media;MEDIO
1619;Media;MEDIO
1629;Media;MEDIO-BAJO
1631;Media;ALTO
1632;Media;MEDIO
1634;Media;ALTO
1635;Media;MEDIO-BAJO
1638;Media;ALTO
1641;Media;MEDIO
1653;Media;MEDIO
1663;Media;MEDIO-BAJO
1664;Media;INSUFICIENTE
1672;Media;MEDIO-BAJO
1674;Media;INSUFICIENTE
1675;Media;INSUFICIENTE
1676;Media;MEDIO
1681;Media;MEDIO-BAJO
1685;Media;INSUFICIENTE
1734;Media;ALTO
1735;Media;ALTO
1738;Media;ALTO
1739;Media;MEDIO
1741;Media;MEDIO
1742;Media;MEDIO
1743;Media;MEDIO
1747;Media;ALTO
1749;Media;MEDIO
1750;Media;ALTO
1755;Media;MEDIO
1756;Media;MEDIO
1757;Media;MEDIO
1761;Media;MEDIO
1769;Media;ALTO
1774;Media;ALTO
1775;Media;MEDIO
1776;Media;MEDIO
1777;Media;MEDIO
1780;Media;MEDIO-BAJO
1781;Media;MEDIO
1783;Media;ALTO
1787;Media;ALTO
1788;Media;MEDIO
1789;Media;MEDIO
1791;Media;ALTO
1792;Media;MEDIO
1795;Media;MEDIO
1796;Media;MEDIO
1801;Media;MEDIO
1839;Media;ALTO
1844;Media;MEDIO
1851;Media;MEDIO
1858;Media;MEDIO
1859;Media;MEDIO
1860;Media;MEDIO
1863;Media;MEDIO-BAJO
1864;Media;MEDIO-BAJO
1880;Media;MEDIO-BAJO
1882;Media;MEDIO-BAJO
1884;Media;INSUFICIENTE
1887;Media;MEDIO-BAJO
1895;Media;MEDIO-BAJO
1908;Media;MEDIO
1909;Media;MEDIO
1911;Media;MEDIO
1918;Media;MEDIO
1919;Media;MEDIO
1923;Media;MEDIO
1934;Media;MEDIO
1937;Media;ALTO
1941;Media;MEDIO
1958;Media;INSUFICIENTE
1959;Media;MEDIO
1967;Media;ALTO
1969;Media;MEDIO-BAJO
1971;Media;MEDIO-BAJO
1977;Media;MEDIO
1980;Media;MEDIO
1987;Media;INSUFICIENTE
1989;Media;MEDIO
1996;Media;MEDIO-BAJO
1997;Media;MEDIO
2007;Media;MEDIO-BAJO
2009;Media;SIN CATEGORIA: BAJA MATRICULA
2012;Media;INSUFICIENTE
2013;Media;MEDIO-BAJO
2018;Media;INSUFICIENTE
2019;Media;MEDIO
2035;Media;SIN CATEGORIA: BAJA MATRICULA
2040;Media;MEDIO
2041;Media;MEDIO
2042;Media;ALTO
2043;Media;MEDIO
2044;Media;MEDIO
2045;Media;MEDIO
2047;Media;MEDIO
2048;Media;MEDIO-BAJO
2049;Media;ALTO
2050;Media;MEDIO-BAJO
2052;Media;SIN CATEGORIA: FALTA DE INFORMACION
2055;Media;ALTO
2057;Media;SIN CATEGORIA: BAJA MATRICULA
2064;Media;MEDIO-BAJO
2066;Media;MEDIO
2075;Media;MEDIO
2078;Media;MEDIO-BAJO
2090;Media;MEDIO
